observableId	simulationConditionId	time	measurement	noiseParameters
obs_total_pS1	cond_il6_1	30.0	0.18810673570374686	sigma_pSTAT1
obs_total_pS1	cond_il6_1	45.0	0.06325114898764485	sigma_pSTAT1
obs_total_pS1	cond_il6_1	60.0	0.026975160601551564	sigma_pSTAT1
obs_total_pS1	cond_il6_1	90.0	0.020934865713513644	sigma_pSTAT1
obs_total_pS3	cond_il6_1	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_1	10.0	0.3227414271824476	sigma_pSTAT3
obs_total_pS3	cond_il6_1	20.0	0.5880693526229013	sigma_pSTAT3
obs_total_pS3	cond_il6_1	30.0	0.5200653988749776	sigma_pSTAT3
obs_total_pS3	cond_il6_1	45.0	0.26694172510416303	sigma_pSTAT3
obs_total_pS3	cond_il6_1	60.0	0.13824797618371465	sigma_pSTAT3
obs_total_pS3	cond_il6_1	90.0	0.09249918777692515	sigma_pSTAT3
obs_total_pS1	cond_il6_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10	10.0	0.6633685489559494	sigma_pSTAT1
obs_total_pS1	cond_il6_10	20.0	0.9999999991525741	sigma_pSTAT1
obs_total_pS1	cond_il6_10	30.0	0.726837962969756	sigma_pSTAT1
obs_total_pS1	cond_il6_10	45.0	0.2645659708760311	sigma_pSTAT1
obs_total_pS1	cond_il6_10	60.0	0.10735057737583434	sigma_pSTAT1
obs_total_pS1	cond_il6_10	90.0	0.062101232097657506	sigma_pSTAT1
obs_total_pS3	cond_il6_10	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_10	10.0	0.9568690239073253	sigma_pSTAT3
obs_total_pS3	cond_il6_10	20.0	1.000000001625679	sigma_pSTAT3
obs_total_pS3	cond_il6_10	30.0	0.8750434854006193	sigma_pSTAT3
obs_total_pS3	cond_il6_10	45.0	0.554175142897115	sigma_pSTAT3
obs_total_pS3	cond_il6_10	60.0	0.29109214610487927	sigma_pSTAT3
obs_total_pS3	cond_il6_10	90.0	0.07167485075410143	sigma_pSTAT3
obs_total_pS1	cond_il6_10_il10_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	10.0	0.8909920020165844	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	20.0	1.2537418737311865	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	30.0	0.9138900705529756	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	45.0	0.3444924604091776	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	60.0	0.15112117351466628	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	90.0	0.11562748680813197	sigma_pSTAT1
obs_total_pS3	cond_il6_10_il10_10	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	10.0	1.110003823565534	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	20.0	1.0816260302911094	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	30.0	0.9732086537929642	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	45.0	0.719397303231384	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	60.0	0.5849035622427656	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	90.0	0.5586848319071023	sigma_pSTAT3
obs_total_pS1	cond_il6_1_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	10.0	0.14763584610274896	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	20.0	0.2611957408623562	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	30.0	0.18902977459165168	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	45.0	0.07288074417663921	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	60.0	0.04673878508598126	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	90.0	0.03166225265533527	sigma_pSTAT1
obs_total_pS3	cond_il6_1_il10_1	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	10.0	0.5382915744274982	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	20.0	0.7539678131159351	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	30.0	0.6473017249352636	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	45.0	0.4412988100034681	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	60.0	0.3738372189277074	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	90.0	0.3037246866896088	sigma_pSTAT3
